link,product_name,mobile_name,mobile_price,customer_rating
https://www.amazon.in/OPPO-Fantastic-Purple-128GB-Storage/dp/B08VB34KJ1,"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers","        OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers       ","15,490",4.2 out of 5
https://www.amazon.in/Redmi-Chrome-Silver-Dimensity-5000mAh/dp/B0BBFKYH4N,"Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G","        Redmi 11 Prime 5G (Chrome Silver, 4GB RAM 64GB ROM) | Prime Design | MTK Dimensity 700 | 50 MP Dual Cam | 5000mAh | 7 Band 5G       ","12,999",3.9 out of 5
https://www.amazon.in/Redmi-Storage-Additional-Exchange-Included/dp/B09T2XDXBN,"Redmi Note 11 Pro + 5G (Mirage Blue, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included","        Redmi Note 11 Pro + 5G (Mirage Blue, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included       ","22,999",3.8 out of 5
https://www.amazon.in/Redmi-Power-Sporty-Orange-Storage/dp/B09Y5WPXGW,"Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)","        Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)       ","12,499",4.1 out of 5
https://www.amazon.in/Redmi-Stealth-Additional-Exchange-Included/dp/B09T2S8X9C,"Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included","        Redmi Note 11 Pro + 5G (Stealth Black, 8GB RAM, 256GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included       ","22,999",3.8 out of 5
https://www.amazon.in/Samsung-Midnight-Storage-5000mAh-Battery/dp/B0B4F1YC3J,"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","        Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus       ","13,999",4 out of 5
https://www.amazon.in/OnePlus-Sierra-Black-Storage-SuperVOOC/dp/B09WRNPKRR,"OnePlus 10R 5G (Sierra Black, 12GB RAM, 256GB Storage, 80W SuperVOOC)","        OnePlus 10R 5G (Sierra Black, 12GB RAM, 256GB Storage, 80W SuperVOOC)       ","38,999",4.2 out of 5
https://www.amazon.in/Redmi-Stealth-Additional-Exchange-Included/dp/B09T39K9YL,"Redmi Note 11 Pro + 5G (Stealth Black, 6GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included","        Redmi Note 11 Pro + 5G (Stealth Black, 6GB RAM, 128GB Storage) | 67W Turbo Charge | 120Hz Super AMOLED Display | Additional Exchange Offers | Charger Included       ","19,999",3.8 out of 5
https://www.amazon.in/iQOO-Snapdragon-Segment-Purchased-Separately/dp/B07WJV6P1R,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately","        iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | 5000mAh Battery | Travel Adapter to be Purchased Separately       ","15,499",4.1 out of 5
https://www.amazon.in/Nokia-Android-Smartphone-Battery-Storage/dp/B09Y99VSSJ,"Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue","        Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue       ","14,499",4.2 out of 5
https://www.amazon.in/Tecno-Spark-Storage-Expandable-Processor/dp/B0B56YRBNT,"Tecno Spark 9 (Sky Mirror, 6GB RAM,128GB Storage) | 11GB Expandable RAM | Helio G37 Gaming Processor","        Tecno Spark 9 (Sky Mirror, 6GB RAM,128GB Storage) | 11GB Expandable RAM | Helio G37 Gaming Processor       ","9,249",3.8 out of 5
https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB57558,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","        Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers       ","37,990",4.2 out of 5
https://www.amazon.in/Redmi-Charcoal-Storage-Battery-Booster/dp/B09XB8GFBQ,"Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster","        Redmi 10A (Charcoal Black, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster       ","8,299",3.9 out of 5
https://www.amazon.in/realme-narzo-Mint-Green-Storage/dp/B09FKDH6FS,"realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display","        realme narzo 50i (Mint Green, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display       ","7,499",4 out of 5
https://www.amazon.in/realme-Storage-Display-Charger-Variant/dp/B09WYXDNWW,"realme narzo 50A Prime (Flash Black, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant)","        realme narzo 50A Prime (Flash Black, 4GB RAM+128GB Storage) FHD+ Display | 50MP AI Triple Camera (No Charger Variant)       ","11,499",4 out of 5
https://www.amazon.in/Redmi-Note-11T-5G-Dimensity/dp/B09LJ12YNK,"Redmi Note 11T 5G (Matte Black, 8GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!","        Redmi Note 11T 5G (Matte Black, 8GB RAM, 128GB ROM)| Dimensity 810 5G | 33W Pro Fast Charging | Charger Included | Additional Exchange Offers| Get 2 Months of YouTube Premium Free!       ","18,999",4.1 out of 5
https://www.amazon.in/realme-narzo-Carbon-Black-Storage/dp/B09FKGDJNC,"realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display","        realme narzo 50i (Carbon Black, 2GB RAM+32GB Storage) Octa Core Processor | 6.5"" inch Large Display       ","7,499",4 out of 5
https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","        OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)       ","18,999",4.3 out of 5
https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","        Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus       ","9,699",4 out of 5
https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2XCK3,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus","        Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus       ","11,699",4 out of 5
https://www.amazon.in/iQOO-Raven-Black-128GB-Storage/dp/B07WGPKMP5,"iQOO Z6 44W by vivo (Raven Black, 6GB RAM, 128GB Storage) | 44 W Charging which Charges 50% in just 27 mins | 6.44"" FHD+ AMOLED Display | in-Display Fingerprint Scanning","        iQOO Z6 44W by vivo (Raven Black, 6GB RAM, 128GB Storage) | 44 W Charging which Charges 50% in just 27 mins | 6.44"" FHD+ AMOLED Display | in-Display Fingerprint Scanning       ","15,999",4.1 out of 5
https://www.amazon.in/Redmi-Storage-Battery-Finger-Booster/dp/B09XB7SRQ5,"Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster","        Redmi 10A (Slate Grey, 4GB RAM, 64GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster       ","8,299",3.9 out of 5
https://www.amazon.in/OnePlus-Nord-Jade-128GB-Storage/dp/B0B3CPQ5PF,"OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)","        OnePlus Nord 2T 5G (Jade Fog, 8GB RAM, 128GB Storage)       ","28,999",4.3 out of 5
https://www.amazon.in/Tecno-Spark-Infinity-Expandable-Processor/dp/B0B56YWX99,"Tecno Spark 9 (Infinity Black, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor","        Tecno Spark 9 (Infinity Black, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor       ","7,999",3.8 out of 5
https://www.amazon.in/Redmi-Storage-Battery-Finger-Booster/dp/B0B6PSPJ8N,"Redmi 10A Sport (Slate Grey, 6GB RAM, 128GB Storage) | 2 Ghz Octa Cor Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 8GB RAM with RAM Booster","        Redmi 10A Sport (Slate Grey, 6GB RAM, 128GB Storage) | 2 Ghz Octa Cor Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 8GB RAM with RAM Booster       ","9,999",3.7 out of 5
https://www.amazon.in/Redmi-Activ-Carbon-Black-Storage/dp/B09GFPVD9Y,"Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery","        Redmi 9 Activ (Carbon Black, 4GB RAM, 64GB Storage) | Octa-core Helio G35 | 5000 mAh Battery       ","8,499",4.2 out of 5
https://www.amazon.in/OnePlus-Nord-Shadow-128GB-Storage/dp/B0B3CQBRB4,"OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)","        OnePlus Nord 2T 5G (Gray Shadow, 8GB RAM, 128GB Storage)       ","28,999",4.3 out of 5
https://www.amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","        OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers       ","11,990",4.2 out of 5
https://www.amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CV13RWF,Redmi 10 Prime (Phantom Black 6GB RAM 128GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display),        Redmi 10 Prime (Phantom Black 6GB RAM 128GB ROM |Helio G88 with extendable RAM Upto 2GB |FHD+ 90Hz Adaptive Sync Display)       ,"12,999",4.1 out of 5
https://www.amazon.in/Redmi-Storage-Segment-5000mAh-Battery/dp/B0BBN4DZBD,"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","        Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12       ","6,199",4 out of 5
https://www.amazon.in/Samsung-Storage-sAmoled-Purchased-Separately/dp/B09XJ5LD6L,"Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 108MP | sAmoled+ 120Hz | 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","        Samsung Galaxy M53 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 108MP | sAmoled+ 120Hz | 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately       ","26,499",3.9 out of 5
https://www.amazon.in/OnePlus-Nord-Black-128GB-Storage/dp/B09WQY65HN,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","        OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)       ","18,999",4.3 out of 5
